,2070-2100
98,1.2259090909090908
99,1.1525641025641027
100,0.6243055555555556
101,1.2486111111111111
102,0.561875
103,0.4280952380952382
104,1.1653703703703706
105,0.899
106,1.8729166666666668
107,2.568571428571429
108,3.9955555555555557
109,1.664814814814815
110,1.6481666666666668
111,2.179393939393939
112,2.140476190476191
113,1.3110416666666669
114,1.373472222222222
115,1.8729166666666668
116,1.6481666666666668
117,1.728846153846154
118,2.0334523809523812
119,1.605357142857143
120,2.31560606060606
121,1.298555555555556
122,1.391309523809524
123,1.798
124,1.0373076923076923
125,0.4280952380952382
126,0.8740277777777777
127,1.1237499999999998
128,0.49944444444444447
129,1.0373076923076923
130,1.2259090909090908
131,1.0488333333333335
132,3.596
133,2.996666666666667
134,3.496111111111111
135,5.094333333333333
136,2.663703703703704
137,2.3973333333333335
138,2.420384615384616
139,2.6220833333333333
140,2.043181818181818
141,2.3973333333333335
142,2.0746153846153845
143,1.6981111111111111
144,1.6135897435897437
145,1.6135897435897437
146,1.7123809523809528
147,1.6231944444444446
148,1.7707575757575758
149,1.5982222222222224
150,0.5826851851851853
151,0.7991111111111112
152,1.6345454545454543
153,1.0896969696969696
154,1.1986666666666668
155,1.383076923076923
156,1.391309523809524
157,1.6481666666666668
158,1.9977777777777779
159,2.663703703703704
160,3.2963333333333336
161,2.4972222222222222
162,2.830185185185185
163,3.9955555555555557
164,3.37125
165,2.650897435897436
166,2.871805555555555
167,2.6220833333333333
168,2.535641025641026
169,2.746944444444444
170,3.7458333333333336
171,2.996666666666667
172,1.7123809523809528
173,1.9264285714285716
174,2.766153846153846
175,0.3995555555555556
176,0.7491666666666665
177,1.0896969696969696
178,1.4983333333333335
179,1.664814814814815
180,1.9069696969696968
181,1.4983333333333337
182,2.1226388888888885
183,2.2474999999999996
184,1.728846153846154
185,2.724242424242424
186,2.996666666666667
187,2.588030303030303
188,3.496111111111112
189,4.345166666666667
190,3.3424358974358976
191,2.697
192,2.5284375000000003
193,3.210714285714286
194,3.496111111111111
195,3.745833333333333
196,4.0669047619047625
197,3.745833333333333
198,2.766153846153846
199,3.4247619047619056
200,0.6992222222222223
201,0.7991111111111112
202,1.1237499999999998
203,1.0896969696969696
204,1.7707575757575758
205,2.3307407407407412
206,2.179393939393939
207,1.7123809523809528
208,2.4518181818181817
209,1.8441025641025643
210,2.996666666666666
211,3.121527777777777
212,2.420384615384616
213,4.307708333333333
214,5.565238095238096
215,5.160925925925927
216,2.697
217,2.5804629629629634
218,3.2963333333333336
219,3.496111111111111
220,4.345166666666667
221,4.495
222,2.8604545454545454
223,3.1465000000000005
224,2.588030303030303
225,1.1237499999999998
226,0.8561904761904764
227,0.8561904761904764
228,1.298555555555556
229,1.5982222222222224
230,2.189871794871795
231,2.8604545454545454
232,3.4461666666666666
233,2.535641025641026
234,2.3545238095238097
235,2.6220833333333333
236,2.4972222222222222
237,2.996666666666666
238,3.246388888888889
239,3.596
240,3.745833333333333
241,3.5729487179487185
242,2.996666666666667
243,2.365789473684211
244,2.809375
245,2.996666666666667
246,3.5415151515151515
247,2.535641025641026
248,2.3051282051282054
249,2.996666666666667
250,0.7991111111111112
251,1.6231944444444446
252,0.899
253,0.9988888888888889
254,1.298555555555556
255,2.140476190476191
256,2.060208333333333
257,3.1328787878787874
258,3.121527777777777
259,2.8814102564102564
260,3.121527777777777
261,2.746944444444444
262,2.1975555555555557
263,2.140476190476191
264,1.9977777777777779
265,2.568571428571429
266,2.5559803921568625
267,2.830185185185185
268,2.3307407407407412
269,2.379705882352941
270,3.210714285714286
271,2.896777777777778
272,2.597111111111112
273,3.246388888888889
274,3.745833333333333
275,0.5707936507936507
276,0.9695098039215685
277,1.0987777777777779
278,1.4101960784313727
279,1.3984444444444446
280,1.8978888888888892
281,1.423416666666667
282,1.4269841269841268
283,1.9977777777777779
284,2.3973333333333335
285,3.2271794871794874
286,2.8814102564102564
287,3.496111111111112
288,1.7627450980392156
289,1.8137719298245614
290,1.748055555555556
291,1.997777777777778
292,2.081018518518518
293,2.896777777777778
294,2.7322549019607845
295,3.084803921568627
296,4.086363636363636
297,3.210714285714286
