,2040-2070
203,4.767424242424242
204,4.767424242424242
205,6.326296296296297
206,4.222575757575758
207,2.8896428571428574
208,4.222575757575758
209,3.3424358974358976
210,5.039848484848484
211,3.6209722222222216
212,4.37974358974359
213,7.866250000000002
214,10.274285714285716
215,8.82351851851852
216,4.594888888888889
217,4.495
218,4.9944444444444445
219,3.995555555555556
220,5.094333333333333
221,5.4314583333333335
222,4.358787878787878
223,4.944500000000001
224,5.720909090909091
225,2.4972222222222222
226,2.3545238095238097
227,2.568571428571429
228,2.896777777777778
229,3.0965555555555557
230,4.149230769230769
231,4.903636363636363
232,4.794666666666667
233,3.1119230769230772
234,2.996666666666667
235,3.9955555555555557
236,4.245277777777777
237,4.903636363636363
238,4.494999999999999
239,5.693666666666668
240,5.843500000000001
241,4.26448717948718
242,3.8394791666666666
243,3.3121052631578953
244,3.558541666666667
245,3.210714285714286
246,4.222575757575758
247,3.457692307692308
248,3.6882051282051287
249,6.143166666666667
250,2.3973333333333335
251,2.2474999999999996
252,1.8978888888888892
253,1.664814814814815
254,2.597111111111112
255,3.5317857142857143
256,3.3712500000000003
257,4.767424242424242
258,4.120416666666666
259,3.5729487179487185
260,4.494999999999999
261,4.9944444444444445
262,3.496111111111111
263,3.7458333333333336
264,2.996666666666667
265,3.6388095238095235
266,3.172941176470588
267,2.996666666666667
268,3.0799074074074078
269,2.9085294117647056
270,3.210714285714286
271,3.0965555555555557
272,3.0965555555555557
273,4.370138888888889
274,5.693666666666668
275,1.4983333333333333
276,2.2034313725490193
277,2.097666666666667
278,1.939019607843137
279,2.597111111111112
280,2.896777777777778
281,2.097666666666667
282,2.2118253968253967
283,2.4972222222222222
284,2.597111111111112
285,3.6882051282051287
286,4.840769230769232
287,6.992222222222224
288,3.172941176470588
289,3.0755263157894737
290,3.32962962962963
291,3.3962222222222223
292,2.7469444444444444
293,3.2963333333333336
294,3.3492156862745097
295,2.6441176470588235
296,4.63121212121212
297,3.5317857142857143
298,5.448484848484848
299,6.442833333333334
300,1.5696825396825393
301,2.4972222222222222
302,2.2974444444444444
303,1.8312962962962964
304,2.5284375000000003
305,3.496111111111111
306,2.467843137254902
307,1.563478260869565
308,2.1404761904761904
309,2.7322549019607845
310,2.497222222222222
311,3.3712500000000003
312,4.173928571428572
