,2070-2100
164,2.996666666666666
165,3.1119230769230772
166,3.745833333333333
167,3.745833333333333
168,4.033974358974359
169,3.246388888888889
170,4.682291666666666
171,3.745833333333333
172,2.3545238095238097
173,1.9264285714285716
174,2.535641025641026
175,1.798
176,2.2474999999999996
177,2.724242424242424
178,2.4972222222222222
179,2.663703703703704
180,1.9069696969696968
181,1.728846153846154
182,2.1226388888888885
183,2.6220833333333333
184,2.535641025641026
185,2.996666666666666
186,3.2963333333333336
187,3.1328787878787874
188,3.829074074074074
189,3.4461666666666666
190,3.2271794871794874
191,2.697
192,2.7157291666666667
193,3.3177380952380955
194,5.369027777777777
195,4.794666666666667
196,5.993333333333334
197,4.195333333333334
198,3.5729487179487185
199,3.103690476190476
200,1.5982222222222224
201,1.6981111111111111
202,1.7480555555555555
203,1.9069696969696968
204,2.043181818181818
205,2.4972222222222222
206,2.179393939393939
207,1.8194047619047617
208,3.2690909090909086
209,2.650897435897436
210,3.5415151515151515
211,2.746944444444444
212,3.2271794871794874
213,4.307708333333333
214,5.351190476190475
215,4.6614814814814824
216,2.796888888888889
217,2.4972222222222222
218,2.697
219,4.395111111111111
220,6.143166666666667
221,5.806041666666667
222,4.358787878787878
223,4.644833333333334
224,4.494999999999999
225,2.6220833333333333
226,1.605357142857143
227,1.1772619047619048
228,0.899
229,1.5982222222222224
230,1.4983333333333337
231,2.724242424242424
232,2.846833333333334
233,1.8441025641025643
234,1.9264285714285716
235,2.871805555555555
236,2.746944444444444
237,2.996666666666666
238,2.746944444444444
239,3.1465000000000005
240,3.2963333333333336
241,3.457692307692308
242,2.809375
243,2.444649122807018
244,2.809375
245,3.7458333333333336
246,5.312272727272727
247,4.033974358974359
248,3.6882051282051287
249,4.944500000000001
250,2.1975555555555557
251,1.9977777777777779
252,1.3984444444444446
253,1.5815740740740742
254,1.997777777777778
255,1.8194047619047617
256,1.7792708333333336
257,2.8604545454545454
258,1.8729166666666666
259,2.3051282051282054
260,2.4972222222222222
261,2.996666666666666
262,2.1975555555555557
263,2.461547619047619
264,1.8312962962962964
265,2.568571428571429
266,2.379705882352941
267,2.3307407407407412
268,2.4972222222222222
269,2.5559803921568625
270,3.210714285714286
271,3.3962222222222223
272,3.496111111111111
273,3.745833333333333
274,4.944500000000001
275,1.4269841269841268
276,1.7627450980392156
277,2.097666666666667
278,1.7627450980392156
279,2.1975555555555557
280,1.8978888888888892
281,1.423416666666667
282,1.284285714285714
283,1.4150925925925926
284,2.1975555555555557
285,2.420384615384616
286,2.766153846153846
287,4.3285185185185195
288,2.0271568627450978
289,1.8137719298245614
290,1.9977777777777779
291,2.3973333333333335
292,2.4139814814814815
293,2.3973333333333335
294,2.9085294117647056
295,2.996666666666666
296,4.494999999999999
297,2.996666666666667
298,4.358787878787878
299,4.195333333333334
300,1.6410317460317456
301,1.997777777777778
302,1.8978888888888892
303,1.914537037037037
304,2.1538541666666666
305,2.996666666666666
306,1.939019607843137
307,1.1726086956521737
308,1.284285714285714
309,1.6746078431372549
310,1.7123809523809521
311,2.4347916666666674
312,3.210714285714286
313,1.7792708333333336
314,1.3485
315,1.7230833333333333
316,2.1152941176470588
317,1.8729166666666666
318,1.798
319,2.081018518518518
320,2.2034313725490193
321,2.4972222222222222
322,3.3177380952380955
323,3.6777272727272723
324,2.597111111111112
325,1.8729166666666666
326,2.5559803921568625
327,2.140476190476191
328,1.7627450980392156
329,1.7627450980392156
330,1.5919791666666665
331,3.246388888888889
332,2.2475
333,1.362121212121212
334,1.4983333333333333
335,1.5696825396825393
336,1.7230833333333333
337,1.6410317460317456
338,1.748055555555556
339,1.284285714285714
340,1.284285714285714
341,1.284285714285714
342,1.3984444444444446
343,1.3220588235294117
344,2.2034313725490193
345,2.0691269841269837
346,2.4139814814814815
347,2.8896428571428574
348,1.6560526315789477
